case_id,trace
1002,1 7 3
1003,1 2 36 3
1004,1 6 3
1005,1 2 27 29 3
1006,1 2 18 3
1007,1 6 3
1008,1 7 3
1009,1 2 3
1010,1 6 47 3
1011,1 7 63 3
1012,1 2 64 3
1013,1 6 38 3
1014,1 9 3
1015,11 12 13 14 42 3
1016,1 75 3
1017,11 12 16 55 3
1018,1 9 3
1019,11 12 19 73 3
1020,11 12 22 40 3
1021,11 12 12 12 22 28 3
1022,11 12 12 12 12 16 23 63 3
1023,11 12 13 65 3
1024,11 12 12 12 12 13 51 3
1025,1 2 3
1026,11 12 12 12 16 60 3
1027,11 12 12 12 19 77 3
1028,11 12 12 12 22 17 15 3
1029,11 12 12 12 12 12 12 72
1030,1 6 3
1031,11 12 13 17 33 3
1032,11 12 12 12 12 12 12 72
1033,11 12 12 12 12 12 12 72
1034,11 12 12 12 13 25 3
1035,11 12 13 27 45 3
1036,1 2 81 3
1037,1 7 3
1038,11 12 16 38 3
1039,11 12 12 12 12 12 12 72
1040,1 6 82 3
1041,11 12 13 14 32 3
1042,11 12 12 12 13 31 3
1043,1 9 23 66 3
1044,11 12 12 12 19 65 3
1045,1 75 20 69 3
1046,11 12 12 12 22 66 3
1047,11 12 12 12 12 12 12 72
1048,11 12 12 12 13 30 3
1049,11 12 12 12 16 4 3
1050,11 12 12 12 19 27 18 3
1051,1 2 60 3
1052,11 12 12 12 22 42 3
1053,11 12 12 12 12 12 12 72
1054,1 6 5 3
1055,11 12 12 12 12 12 12 72
1056,1 7 54 3
1057,11 12 12 12 12 12 12 72
1058,1 9 3
1059,1 2 3
1060,1 75 78 3
1061,1 2 26 3
1062,1 6 36 3
1063,1 7 3
1064,1 2 3
1065,1 6 27 31 3
1066,1 2 37 3
1067,1 6 18 3
1068,1 7 3
